date,product_name,quantity,sales,revenue,category
2024-01-05,Analytics Pro,120,2400.00,2400.00,Software
2024-01-08,DataViz Suite,85,1700.00,1700.00,Software
2024-01-12,Insight Engine,60,1800.00,1800.00,Software
2024-01-15,Report Builder,95,1900.00,1900.00,Software
2024-01-19,ML Forecaster,45,1800.00,1800.00,Software
2024-01-22,Dashboard Pro,110,2200.00,2200.00,Software
2024-01-28,Analytics Pro,135,2700.00,2700.00,Software
2024-02-03,DataViz Suite,70,1400.00,1400.00,Software
2024-02-07,Insight Engine,55,1650.00,1650.00,Software
2024-02-11,ML Forecaster,40,1600.00,1600.00,Software
2024-02-15,Analytics Pro,125,2500.00,2500.00,Software
2024-02-20,Report Builder,80,1600.00,1600.00,Software
2024-02-25,Dashboard Pro,90,1800.00,1800.00,Software
2024-03-04,Analytics Pro,145,2900.00,2900.00,Software
2024-03-08,Insight Engine,70,2100.00,2100.00,Software
2024-03-12,ML Forecaster,55,2200.00,2200.00,Software
2024-03-16,DataViz Suite,95,1900.00,1900.00,Software
2024-03-21,Analytics Pro,160,3200.00,3200.00,Software
2024-03-26,Dashboard Pro,115,2300.00,2300.00,Software
2024-04-02,ML Forecaster,65,2600.00,2600.00,Software
2024-04-07,Analytics Pro,175,3500.00,3500.00,Software
2024-04-11,Insight Engine,80,2400.00,2400.00,Software
2024-04-16,DataViz Suite,110,2200.00,2200.00,Software
2024-04-22,Report Builder,100,2000.00,2000.00,Software
2024-04-27,Dashboard Pro,130,2600.00,2600.00,Software
2024-05-03,ML Forecaster,75,3000.00,3000.00,Software
2024-05-09,Analytics Pro,195,3900.00,3900.00,Software
2024-05-14,Insight Engine,90,2700.00,2700.00,Software
2024-05-19,DataViz Suite,125,2500.00,2500.00,Software
2024-05-24,Analytics Pro,210,4200.00,4200.00,Software
2024-05-29,ML Forecaster,85,3400.00,3400.00,Software
2024-06-04,Analytics Pro,220,4400.00,4400.00,Software
2024-06-10,Insight Engine,100,3000.00,3000.00,Software
2024-06-15,ML Forecaster,95,3800.00,3800.00,Software
2024-06-20,DataViz Suite,140,2800.00,2800.00,Software
2024-06-25,Dashboard Pro,150,3000.00,3000.00,Software
2024-06-30,Report Builder,90,1800.00,1800.00,Software
2024-07-05,Analytics Pro,230,4600.00,4600.00,Software
2024-07-11,ML Forecaster,105,4200.00,4200.00,Software
2024-07-17,Insight Engine,115,3450.00,3450.00,Software
2024-07-23,Analytics Pro,245,4900.00,4900.00,Software
2024-07-29,DataViz Suite,160,3200.00,3200.00,Software
2024-08-04,Analytics Pro,235,4700.00,4700.00,Software
2024-08-10,ML Forecaster,100,4000.00,4000.00,Software
2024-08-15,Insight Engine,110,3300.00,3300.00,Software
2024-08-21,DataViz Suite,150,3000.00,3000.00,Software
2024-08-27,Dashboard Pro,160,3200.00,3200.00,Software
2024-09-03,Analytics Pro,220,4400.00,4400.00,Software
2024-09-09,ML Forecaster,95,3800.00,3800.00,Software
2024-09-15,Insight Engine,105,3150.00,3150.00,Software
2024-09-21,DataViz Suite,140,2800.00,2800.00,Software
2024-09-27,Report Builder,85,1700.00,1700.00,Software
2024-10-03,Analytics Pro,260,5200.00,5200.00,Software
2024-10-09,ML Forecaster,120,4800.00,4800.00,Software
2024-10-15,Insight Engine,130,3900.00,3900.00,Software
2024-10-21,DataViz Suite,175,3500.00,3500.00,Software
2024-10-27,Analytics Pro,280,5600.00,5600.00,Software
2024-11-02,ML Forecaster,115,4600.00,4600.00,Software
2024-11-08,Analytics Pro,265,5300.00,5300.00,Software
2024-11-14,Insight Engine,125,3750.00,3750.00,Software
2024-11-20,DataViz Suite,165,3300.00,3300.00,Software
2024-11-26,Dashboard Pro,185,3700.00,3700.00,Software
2024-12-02,Analytics Pro,255,5100.00,5100.00,Software
2024-12-08,ML Forecaster,110,4400.00,4400.00,Software
2024-12-14,Insight Engine,120,3600.00,3600.00,Software
2024-12-20,DataViz Suite,155,3100.00,3100.00,Software
2024-12-26,Dashboard Pro,175,3500.00,3500.00,Software
